Ad              Soyad           Hatalı Pas      Doğru Pas
Altay           Bayindir        3               25
Kim             Min-jae         2               30
Enner           Valencia        4               20
Mert            Yandas          5               30
Ismail          Yuksek          6               40
Joshua          King            7               30
Joao            Pedro           5               45
Serdar          Dursun          6               50
Diego           Rossi           8               25
Ferdi           Kadioglu        6               45
Willian         Aro             4               35
Arda            Guler           2               28
Bright          Osayi-Samuel    5               38
Fredrik         Midtsjo         6               32
Bruno           Alves           4               22
Emre            Mor             3               27
Sadik           Ciftpinar       6               50
Altay           Bayindir        4               22
Enner           Valencia        3               29
Mert            Yandas          2               31
Ismail          Yuksek          6               28
Joshua          King            7               40
Serdar          Dursun          3               33
Diego           Rossi           8               31
Ferdi           Kadioglu        2               34
Willian         Aro             3               39
Arda            Guler           4               24
Kim             Min-jae         3               25
Joao            Pedro           4               26
Fredrik         Midtsjo         5               38
Bruno           Alves           2               29
Emre            Mor             7               25
Sadik           Ciftpinar       4               32
Murat           Yilmaz          5               30
Serkan          Demirtas        6               28
Hakan           Tanriverdi      4               34
Altay           Bayindir        3               24
Kim             Min-jae         6               27
Diego           Rossi           4               40
Joshua          King            2               35
Serdar          Dursun          6               30
Ferdi           Kadioglu        3               32
Willian         Aro             4               36
Arda            Guler           3               29
Bright          Osayi-Samuel    5               34
Mert            Yandas          5               29
Ismail          Yuksek          7               31
Kim             Min-jae         2               30
Joao            Pedro           5               28
Diego           Rossi           6               30
Sadik           Ciftpinar       5               33
Emre            Mor             6               28
Serdar          Dursun          4               32
Arda            Guler           3               27
Bruno           Alves           6               26
Altay           Bayindir        3               25
Enner           Valencia        4               32
Mert            Yandas          2               33
Serdar          Dursun          3               35
Fredrik         Midtsjo         6               31
Ferdi           Kadioglu        4               28
Willian         Aro             3               39
Arda            Guler           5               24
Sadik           Ciftpinar       4               30
Bruno           Alves           2               28
Kim             Min-jae         4               29
Joao            Pedro           3               32
Joshua          King            2               34
Serdar          Dursun          5               33
Diego           Rossi           7               31
Ferdi           Kadioglu        6               30
Sadik           Ciftpinar       3               32
Willian         Aro             4               35
Arda            Guler           3               28
Bright          Osayi-Samuel    5               32
Altay           Bayindir        4               23
Kim             Min-jae         6               28
Mert            Yandas          5               31
Ismail          Yuksek          7               33
Joshua          King            3               36
Serdar          Dursun          6               30
Diego           Rossi           4               38
Willian         Aro             2               37
Emre            Mor             6               28
Bruno           Alves           3               25
Kim             Min-jae         5               30
Joao            Pedro           4               28
